date,close,osef,osef,osef,osef,close
14/03/2014,1.3915,1.3866,1.3936,1.3846,0.33%,1.3915
13/03/2014,1.3869,1.3902,1.3967,1.3843,-0.24%,1.3869
12/03/2014,1.3903,1.3859,1.3914,1.3841,0.31%,1.3903
11/03/2014,1.3860,1.3874,1.3879,1.3832,-0.12%,1.3860
10/03/2014,1.3877,1.3874,1.3897,1.3860,-0.01%,1.3877
09/03/2014,1.3878,1.3876,1.3880,1.3870,0.00%,1.3878
07/03/2014,1.3878,1.3858,1.3915,1.3852,0.12%,1.3878
06/03/2014,1.3861,1.3731,1.3871,1.3720,0.93%,1.3861
05/03/2014,1.3733,1.3742,1.3746,1.3706,-0.07%,1.3733
04/03/2014,1.3743,1.3733,1.3781,1.3719,0.06%,1.3743
03/03/2014,1.3735,1.3785,1.3792,1.3724,-0.28%,1.3735
02/03/2014,1.3774,1.3800,1.3800,1.3757,-0.20%,1.3774
28/02/2014,1.3802,1.3707,1.3824,1.3692,0.68%,1.3802
27/02/2014,1.3709,1.3686,1.3726,1.3641,0.15%,1.3709
26/02/2014,1.3688,1.3743,1.3757,1.3660,-0.41%,1.3688
25/02/2014,1.3745,1.3734,1.3766,1.3714,0.07%,1.3745
24/02/2014,1.3735,1.3734,1.3769,1.3707,-0.02%,1.3735
23/02/2014,1.3738,1.3738,1.3742,1.3734,-0.01%,1.3738
21/02/2014,1.3740,1.3717,1.3758,1.3701,0.15%,1.3740
20/02/2014,1.3719,1.3732,1.3762,1.3685,-0.10%,1.3719
19/02/2014,1.3733,1.3756,1.3773,1.3723,-0.18%,1.3733
18/02/2014,1.3758,1.3705,1.3769,1.3693,0.36%,1.3758
17/02/2014,1.3708,1.3686,1.3723,1.3685,0.03%,1.3708
16/02/2014,1.3704,1.3693,1.3712,1.3693,0.08%,1.3704
14/02/2014,1.3693,1.3679,1.3715,1.3672,0.09%,1.3693
13/02/2014,1.3681,1.3592,1.3692,1.3584,0.63%,1.3681
12/02/2014,1.3595,1.3637,1.3652,1.3561,-0.32%,1.3595
11/02/2014,1.3639,1.3645,1.3683,1.3628,-0.05%,1.3639
10/02/2014,1.3646,1.3631,1.3651,1.3607,0.20%,1.3646
09/02/2014,1.3619,1.3616,1.3627,1.3616,-0.12%,1.3619
07/02/2014,1.3635,1.3588,1.3640,1.3551,0.33%,1.3635
