Date,Open,High,Low,Close,Volume,Adj Close
2004-04-12,114.58,115.08,114.57,114.82,23085200,92.36
2004-04-08,115.41,115.41,113.74,114.37,46929700,91.99
2004-04-07,114.95,114.98,114.11,114.63,45890500,92.20
2004-04-06,114.83,115.18,114.62,114.90,28420900,92.42
2004-04-05,114.46,115.38,114.44,115.27,30251800,92.72
2004-04-02,114.81,114.84,113.90,114.64,50987700,92.21
2004-04-01,113.07,113.87,113.05,113.78,45103800,91.52
2004-03-31,112.99,113.40,112.38,113.10,48517600,90.97
2004-03-30,112.30,113.07,112.22,112.97,39059900,90.87
2004-03-29,111.63,112.74,111.58,112.59,44113600,90.56
2004-03-26,110.96,111.79,110.80,111.03,37409500,89.31
2004-03-25,110.08,111.30,109.79,111.00,49873600,89.28
2004-03-24,109.58,110.14,108.85,109.55,51584300,88.12
2004-03-23,110.25,110.40,109.36,109.46,54080200,88.05
2004-03-22,110.54,110.57,109.10,109.65,62752100,88.20
2004-03-19,112.41,112.57,111.04,111.06,48636200,89.33
2004-03-18,112.70,113.27,111.93,113.07,60014300,90.63
2004-03-17,112.18,113.26,112.10,113.04,41607300,90.61
2004-03-16,111.78,112.06,110.84,111.79,59832600,89.61
2004-03-15,112.27,112.35,110.90,111.20,57677200,89.13
2004-03-12,111.73,112.71,111.58,112.58,54012200,90.24
2004-03-11,112.40,113.27,111.10,111.12,89134800,89.07
2004-03-10,114.72,114.77,112.56,112.58,67671800,90.24
2004-03-09,115.10,115.21,114.24,114.50,39746100,91.78
2004-03-08,116.34,116.62,114.91,114.96,39281600,92.15
2004-03-05,115.42,116.95,115.28,116.38,55905600,93.28
2004-03-04,115.72,116.10,115.52,115.99,21060000,92.97
2004-03-03,115.25,115.87,114.92,115.69,31346200,92.73
2004-03-02,115.94,116.97,115.23,115.48,38556400,92.56
2004-03-01,115.43,116.34,115.25,116.16,33130800,93.11
2004-02-27,115.19,115.74,114.63,115.02,39312000,92.19
2004-02-26,114.61,115.29,114.34,114.94,29683000,92.13
2004-02-25,114.46,115.06,114.32,114.87,31213600,92.07
2004-02-24,114.27,114.99,113.03,114.39,43953000,91.69
2004-02-23,115.22,115.26,114.17,114.59,36357000,91.85
2004-02-20,115.48,115.56,114.32,114.88,46728800,92.08
2004-02-19,116.33,116.39,115.06,115.23,51146200,92.36
2004-02-18,116.20,116.60,115.35,115.66,28618000,92.71
2004-02-17,115.85,116.43,115.77,116.17,23984300,93.12
2004-02-13,115.82,116.20,114.75,115.13,44739900,92.28
2004-02-12,115.97,116.27,115.58,115.65,27814700,92.70
2004-02-11,114.85,116.39,114.17,116.07,42965700,93.04
2004-02-10,114.28,115.14,114.26,114.85,27908100,92.06
2004-02-09,114.67,114.87,114.29,114.48,24851300,91.76
2004-02-06,113.42,114.70,113.20,114.45,37216000,91.74
2004-02-05,113.17,113.54,112.78,113.18,37226800,90.72
2004-02-04,113.19,113.73,112.79,112.85,39332600,90.45
2004-02-03,113.74,114.14,113.44,113.78,25093500,91.20
2004-02-02,113.70,114.68,113.12,113.97,38832400,91.35
2004-01-30,113.52,113.72,113.09,113.48,30984400,90.96
2004-01-29,113.56,113.85,112.56,113.48,60117100,90.96
2004-01-28,114.98,115.28,112.94,113.37,52621300,90.87
2004-01-27,115.75,116.50,114.65,114.68,35322800,91.92
2004-01-26,114.39,115.93,114.38,115.87,30460600,92.88
2004-01-23,115.00,115.37,113.95,114.43,44245300,91.72
2004-01-22,115.14,115.38,114.58,114.80,29888500,92.02
2004-01-21,114.13,115.30,113.72,115.10,30725000,92.26
2004-01-20,114.53,114.65,113.82,114.20,29863000,91.54
2004-01-16,114.04,114.31,113.63,114.23,31922700,91.56
2004-01-15,113.57,114.06,112.58,113.78,38408700,91.20
2004-01-14,112.76,113.66,112.67,113.50,30112800,90.98
2004-01-13,113.09,113.23,111.76,112.56,54239700,90.22
