date,close,osef,osef,osef,osef,close
08/07/2014,103.40,103.39,104.20,103.01,249,103.40
07/07/2014,103.53,104.06,104.09,103.19,189,103.53
04/07/2014,103.76,104.11,104.12,103.64,-,103.76
03/07/2014,104.06,104.27,104.29,103.67,169,104.06
02/07/2014,104.48,105.21,105.53,104.10,240,104.48
01/07/2014,105.34,105.44,106.09,104.60,221,105.34
30/06/2014,105.37,105.69,105.76,104.66,215,105.37
27/06/2014,105.74,105.64,106.19,105.33,128,105.74
26/06/2014,105.84,106.71,106.81,105.03,195,105.84
25/06/2014,106.50,106.14,107.50,105.47,249,106.50
24/06/2014,106.03,106.02,106.46,105.25,175,106.03
23/06/2014,106.17,107.42,107.45,105.91,175,106.17
20/06/2014,106.83,106.10,106.93,105.81,213,106.83
19/06/2014,106.05,105.70,106.39,105.11,311,106.05
18/06/2014,105.59,106.06,106.47,105.36,235,105.59
17/06/2014,105.87,106.02,106.68,105.45,203,105.87
16/06/2014,106.30,106.18,106.79,106.02,140,106.30
13/06/2014,106.17,106.08,106.84,105.64,144,106.17
12/06/2014,105.78,103.74,106.20,103.59,160,105.78
11/06/2014,103.62,103.48,103.99,103.41,93,103.62
10/06/2014,103.49,103.68,104.23,103.12,130,103.49
09/06/2014,103.59,102.05,103.71,101.89,120,103.59
06/06/2014,102.66,102.44,103.07,102.30,197,102.66
05/06/2014,102.48,102.37,102.69,101.60,200,102.48
04/06/2014,102.64,102.79,103.69,102.34,208,102.64
03/06/2014,102.66,102.44,102.86,102.23,160,102.66
02/06/2014,102.47,102.92,103.35,102.10,159,102.47
30/05/2014,102.71,103.51,103.56,102.40,169,102.71
29/05/2014,103.58,103.06,103.94,102.61,205,103.58
28/05/2014,102.72,104.14,104.39,102.64,239,102.72
27/05/2014,104.11,104.34,104.50,103.57,174,104.11
26/05/2014,104.28,104.20,104.38,103.93,-,104.28
23/05/2014,104.35,103.71,104.50,103.64,160,104.35
22/05/2014,103.74,103.85,104.22,103.55,159,103.74
21/05/2014,104.07,102.96,104.29,102.78,272,104.07
20/05/2014,102.33,102.11,103.01,101.69,249,102.33
19/05/2014,102.11,101.68,102.49,101.52,218,102.11
16/05/2014,102.02,101.56,102.23,101.39,147,102.02
15/05/2014,101.50,102.03,102.26,101.27,276,101.50
14/05/2014,102.37,101.91,102.65,101.83,234,102.37
13/05/2014,101.70,100.63,102.05,100.36,253,101.70
12/05/2014,100.59,100.12,100.93,99.93,211,100.59
09/05/2014,99.99,100.27,101.18,99.71,271,99.99
08/05/2014,100.26,100.82,100.93,99.87,252,100.26
07/05/2014,100.77,99.83,100.99,99.78,291,100.77
06/05/2014,99.50,99.38,100.42,99.32,251,99.50
05/05/2014,99.48,99.96,100.44,98.91,190,99.48
02/05/2014,99.76,99.17,100.14,99.17,213,99.76
01/05/2014,99.42,99.72,99.89,98.74,235,99.42
30/04/2014,99.74,100.76,100.76,99.35,282,99.74
29/04/2014,101.28,100.89,102.20,100.71,218,101.28
28/04/2014,100.84,100.49,101.52,100.33,231,100.84
25/04/2014,100.60,101.93,102.05,100.48,221,100.60
24/04/2014,101.94,101.54,102.35,101.40,202,101.94
23/04/2014,101.44,101.86,102.08,101.20,250,101.44
22/04/2014,102.13,104.36,104.36,101.69,46,102.13
21/04/2014,104.37,104.54,104.77,103.85,115,104.37
17/04/2014,104.30,103.84,104.78,103.54,191,104.30
16/04/2014,103.76,103.76,104.99,103.12,279,103.76
15/04/2014,103.75,103.60,104.05,102.91,215,103.75
14/04/2014,104.05,103.56,104.55,103.34,237,104.05
11/04/2014,103.74,103.34,104.44,103.01,261,103.74
10/04/2014,103.40,103.44,103.81,103.10,222,103.40
09/04/2014,103.60,102.35,103.77,102.03,324,103.60
08/04/2014,102.56,100.69,102.71,100.68,299,102.56
07/04/2014,100.44,100.91,101.32,99.92,254,100.44
04/04/2014,101.14,100.38,101.63,100.28,193,101.14
03/04/2014,100.29,99.29,100.49,99.07,195,100.29
02/04/2014,99.62,99.64,99.83,98.86,231,99.62
01/04/2014,99.74,101.53,101.57,99.28,237,99.74
31/03/2014,101.58,101.69,101.97,100.88,167,101.58
28/03/2014,101.67,101.34,102.24,101.18,166,101.67
27/03/2014,101.28,100.30,101.70,100.03,202,101.28
26/03/2014,100.26,99.18,100.46,99.10,211,100.26
25/03/2014,99.19,99.43,100.25,98.80,217,99.19
24/03/2014,99.60,99.49,100.29,99.05,151,99.60
21/03/2014,99.46,98.59,100.25,98.25,191,99.46
20/03/2014,99.43,100.39,100.82,99.08,33,99.43
19/03/2014,100.37,99.53,100.47,99.34,110,100.37
18/03/2014,99.70,97.97,99.78,97.75,192,99.70
17/03/2014,98.08,99.39,99.39,97.37,227,98.08
14/03/2014,98.89,98.25,99.28,98.06,226,98.89
13/03/2014,98.20,98.10,98.60,97.67,268,98.20
12/03/2014,97.99,99.48,99.60,97.55,416,97.99
11/03/2014,100.03,100.94,101.52,99.32,294,100.03
10/03/2014,101.12,102.75,102.82,100.85,225,101.12
07/03/2014,102.58,101.97,102.91,101.57,226,102.58
06/03/2014,101.56,101.04,102.08,100.13,291,101.56
05/03/2014,101.45,103.35,103.53,100.85,267,101.45
04/03/2014,103.33,104.89,104.96,102.85,210,103.33
03/03/2014,104.92,103.00,105.22,102.95,295,104.92
28/02/2014,102.59,102.15,102.96,101.80,178,102.59
27/02/2014,102.40,102.57,103.08,101.75,196,102.40
26/02/2014,102.59,102.04,102.90,101.58,196,102.59
25/02/2014,101.83,102.80,102.84,101.02,187,101.83
24/02/2014,102.82,102.29,103.45,101.97,177,102.82
21/02/2014,102.20,102.87,102.92,101.69,173,102.20
20/02/2014,102.92,103.41,103.50,102.75,36,102.92
19/02/2014,103.31,103.14,103.80,102.40,116,103.31
18/02/2014,102.43,100.32,103.25,100.23,177,102.43
17/02/2014,100.58,100.59,100.83,100.23,-,100.58
14/02/2014,100.30,100.34,100.47,99.43,229,100.30
13/02/2014,100.35,100.27,100.66,99.40,221,100.35
12/02/2014,100.37,100.46,101.38,100.04,318,100.37
11/02/2014,99.94,99.97,100.60,99.60,233,99.94
10/02/2014,100.06,100.05,100.55,99.11,251,100.06
07/02/2014,99.88,97.97,100.24,97.11,270,99.88
06/02/2014,97.84,97.25,98.83,97.25,234,97.84
05/02/2014,97.38,97.67,98.26,96.80,237,97.38
04/02/2014,97.19,96.53,97.82,96.37,204,97.19
03/02/2014,96.43,97.40,97.94,96.26,293,96.43
31/01/2014,97.49,97.97,98.39,97.10,253,97.49
30/01/2014,98.23,97.42,98.59,97.33,199,98.23
29/01/2014,97.36,97.17,97.75,96.32,200,97.36
28/01/2014,97.41,95.66,97.66,95.63,206,97.41
27/01/2014,95.72,96.90,97.18,95.21,235,95.72
24/01/2014,96.64,97.37,97.80,96.25,239,96.64
23/01/2014,97.32,96.69,97.84,96.41,274,97.32
22/01/2014,96.73,95.20,96.89,95.12,252,96.73
21/01/2014,94.99,94.00,95.23,93.43,35,94.99
20/01/2014,93.93,94.31,94.31,93.66,-,93.93
17/01/2014,94.37,94.17,94.94,93.94,119,94.37
16/01/2014,93.96,94.29,94.64,93.60,165,93.96
15/01/2014,94.17,92.65,94.64,92.43,263,94.17
14/01/2014,92.59,91.51,92.88,91.50,243,92.59
13/01/2014,91.80,92.83,92.88,91.43,212,91.80
10/01/2014,92.72,92.30,93.38,91.99,255,92.72
09/01/2014,91.66,92.58,92.93,91.24,255,91.66
08/01/2014,92.33,93.96,94.18,92.26,244,92.33
07/01/2014,93.67,93.60,94.22,93.35,177,93.67
06/01/2014,93.43,94.18,94.59,93.20,189,93.43
03/01/2014,93.96,95.47,95.74,93.86,215,93.96
02/01/2014,95.44,98.50,98.97,95.34,251,95.44
01/01/2014,98.70,98.61,98.76,98.54,-,98.70
31/12/2013,98.42,99.25,99.39,98.15,113,98.42
30/12/2013,99.29,100.15,100.42,99.13,118,99.29
27/12/2013,100.32,99.63,100.75,99.37,127,100.32
26/12/2013,99.55,99.20,99.70,99.05,65,99.55
24/12/2013,99.22,98.62,99.30,98.53,51,99.22
23/12/2013,98.91,99.20,99.31,98.64,107,98.91
20/12/2013,99.32,98.70,99.40,98.54,151,99.32
19/12/2013,98.77,97.69,99.17,97.50,23,98.77
18/12/2013,97.80,97.30,98.01,97.02,84,97.80
17/12/2013,97.22,97.30,97.90,97.00,120,97.22
16/12/2013,97.48,96.55,97.69,96.21,187,97.48
13/12/2013,96.60,97.58,97.62,96.26,233,96.60
12/12/2013,97.50,97.55,98.18,97.31,205,97.50
11/12/2013,97.44,98.65,98.75,97.20,274,97.44
10/12/2013,98.51,97.25,98.74,97.24,264,98.51
09/12/2013,97.34,97.66,97.97,97.10,210,97.34
06/12/2013,97.65,97.38,98.07,97.08,223,97.65
05/12/2013,97.38,97.33,97.99,97.01,216,97.38
04/12/2013,97.20,96.90,97.58,96.30,325,97.20
03/12/2013,96.04,93.86,96.96,93.67,319,96.04
02/12/2013,93.82,92.71,94.08,92.56,234,93.82
29/11/2013,92.72,92.33,93.90,92.06,143,92.72
28/11/2013,92.28,92.19,92.36,92.08,-,92.28
27/11/2013,92.30,93.50,93.60,91.77,230,92.30
26/11/2013,93.68,94.21,94.69,93.43,160,93.68
25/11/2013,94.09,94.15,94.50,93.08,270,94.09
22/11/2013,94.84,95.29,95.57,94.05,257,94.84
21/11/2013,95.44,93.73,95.63,93.47,222,95.44
20/11/2013,93.33,93.33,93.93,92.73,27,93.33
19/11/2013,93.34,93.00,93.46,92.43,131,93.34
18/11/2013,93.03,93.78,94.30,92.72,169,93.03
15/11/2013,93.84,93.89,94.55,93.58,204,93.84
14/11/2013,93.76,93.50,94.43,92.51,315,93.76
13/11/2013,93.88,93.07,94.54,92.93,305,93.88
12/11/2013,93.04,95.00,95.22,92.86,353,93.04
11/11/2013,95.14,94.45,95.38,94.11,206,95.14
08/11/2013,94.60,94.36,94.92,93.90,241,94.60
07/11/2013,94.20,94.91,95.31,93.80,260,94.20
06/11/2013,94.80,93.74,95.40,93.65,282,94.80
05/11/2013,93.37,94.47,94.90,93.07,226,93.37
04/11/2013,94.62,94.52,95.11,94.06,219,94.62
01/11/2013,94.61,96.32,96.65,94.36,282,94.61
31/10/2013,96.38,96.62,97.03,96.03,255,96.38
30/10/2013,96.77,97.77,97.82,96.55,268,96.77
29/10/2013,98.20,98.54,98.57,97.69,183,98.20
28/10/2013,98.68,97.88,98.82,97.37,230,98.68
25/10/2013,97.85,97.19,98.06,96.99,192,97.85
24/10/2013,97.11,97.10,97.69,95.95,248,97.11
23/10/2013,96.86,98.12,98.29,96.16,356,96.86
22/10/2013,97.80,99.06,99.77,97.50,30,97.80
21/10/2013,99.22,100.63,100.95,98.98,90,99.22
18/10/2013,100.81,100.72,101.71,100.51,116,100.81
17/10/2013,100.67,102.13,102.32,100.03,266,100.67
16/10/2013,102.29,100.88,102.97,100.75,235,102.29
15/10/2013,101.21,102.19,102.46,100.87,240,101.21
14/10/2013,102.41,101.37,102.62,101.06,170,102.41
11/10/2013,102.02,102.94,102.95,100.60,298,102.02
10/10/2013,103.01,101.46,103.57,101.16,296,103.01
09/10/2013,101.61,103.49,103.75,101.18,283,101.61
08/10/2013,103.49,103.16,104.08,102.85,194,103.49
07/10/2013,103.03,103.45,103.74,101.86,269,103.03
04/10/2013,103.84,102.92,104.19,102.90,165,103.84
03/10/2013,103.31,103.82,104.38,102.87,226,103.31
02/10/2013,104.10,101.62,104.23,101.43,300,104.10
01/10/2013,102.04,102.31,102.58,101.06,223,102.04
30/09/2013,102.33,102.46,102.76,101.05,226,102.33
27/09/2013,102.87,102.91,103.77,102.36,232,102.87
26/09/2013,103.03,102.30,103.29,102.20,183,103.03
25/09/2013,102.66,103.41,103.96,102.20,236,102.66
24/09/2013,103.13,103.44,103.64,102.30,259,103.13
23/09/2013,103.59,104.89,105.12,103.12,223,103.59
20/09/2013,104.68,106.37,106.46,104.32,39,104.68
19/09/2013,106.39,108.22,108.99,106.08,139,106.39
18/09/2013,108.07,105.53,108.49,105.32,199,108.07
17/09/2013,105.42,106.22,106.43,104.94,304,105.42
16/09/2013,106.59,107.50,108.00,106.06,282,106.59
13/09/2013,108.21,108.64,108.74,107.23,207,108.21
12/09/2013,108.60,107.77,109.16,107.30,249,108.60
11/09/2013,107.56,107.36,108.09,106.53,238,107.56
10/09/2013,107.39,108.92,108.95,106.39,325,107.39
09/09/2013,109.52,110.28,110.46,108.76,266,109.52
